"ROOM_NO","LAST_MESURE_DT","CO2_DNSTY","INDOOR_HD","LIGHT_IN","PIR_SENSOR","INDOOR_TP","REGIST_DT","UPDT_DT"
"413",2013-08-24 08:05:07.000,528.0,44.52,120.0,0.0,24.56,2022-11-22 19:03:35.000,2022-11-22 20:37:58.000
"415",2013-08-24 01:24:18.000,499.0,51.54,74.0,0.0,23.59,2022-11-22 19:03:36.000,2022-11-22 20:39:36.000
"417",2013-08-24 08:05:15.000,417.0,51.35,60.0,0.0,23.72,2022-11-22 19:03:36.000,2022-11-22 20:41:44.000
"419",2013-08-24 08:05:14.000,546.0,52.24,139.0,0.0,23.84,2022-11-22 19:03:37.000,2022-11-22 20:43:47.000
"421",2013-08-24 08:05:19.000,391.0,52.87,186.0,0.0,23.12,2022-11-22 19:03:38.000,2022-11-22 20:45:46.000
"422",2013-08-24 08:05:16.000,462.0,53.7,202.0,0.0,23.06,2022-11-22 19:03:38.000,2022-11-22 20:47:42.000
"423",2013-08-24 08:05:17.000,411.0,50.8,4.0,0.0,23.56,2022-11-22 19:03:38.000,2022-11-22 20:49:45.000
"424",2013-08-24 08:05:20.000,474.0,50.29,3.0,0.0,24.0,2022-11-22 19:03:39.000,2022-11-22 20:51:57.000
"442",2013-08-24 08:05:16.000,510.0,48.94,5.0,0.0,24.21,2022-11-22 19:03:40.000,2022-11-22 20:53:57.000
"446",2013-08-24 08:05:22.000,564.0,51.92,3.0,0.0,23.16,2022-11-22 19:03:40.000,2022-11-22 20:56:21.000
"448",2013-08-24 08:05:14.000,437.0,51.44,4.0,0.0,23.6,2022-11-22 19:03:41.000,2022-11-22 20:58:38.000
"452",2013-08-24 08:05:13.000,415.0,46.16,3.0,0.0,23.49,2022-11-22 19:03:41.000,2022-11-22 21:00:59.000
"454",2013-08-24 08:05:20.000,383.0,51.47,3.0,0.0,23.54,2022-11-22 19:03:41.000,2022-11-22 21:03:06.000
"456",2013-08-24 08:05:12.000,489.0,48.77,4.0,0.0,24.28,2022-11-22 19:03:42.000,2022-11-22 21:05:17.000
"458",2013-08-24 08:05:18.000,537.0,53.25,4.0,0.0,22.94,2022-11-22 19:03:42.000,2022-11-22 21:06:51.000
"462",2013-08-24 08:04:51.000,475.0,57.35,3.0,0.0,21.8,2022-11-22 19:03:42.000,2022-11-22 21:08:05.000
"510",2013-08-24 01:06:46.000,379.0,48.32,558.0,0.0,25.21,2022-11-22 19:03:43.000,2022-11-22 21:09:23.000
"511",2013-08-24 08:04:53.000,424.0,52.75,718.0,0.0,22.84,2022-11-22 19:03:44.000,2022-11-22 21:10:42.000
"513",2013-08-24 08:05:21.000,395.0,53.98,12.0,0.0,22.64,2022-11-22 19:03:44.000,2022-11-22 21:11:58.000
"552",2013-08-24 08:05:01.000,419.0,53.25,3.0,0.0,22.85,2022-11-22 19:03:45.000,2022-11-22 21:13:21.000
"554",2013-08-24 08:05:28.000,503.0,50.26,65.0,0.0,23.9,2022-11-22 19:03:45.000,2022-11-22 21:14:40.000
"556",2013-08-24 08:05:08.000,501.0,49.23,5.0,0.0,24.09,2022-11-22 19:03:46.000,2022-11-22 21:16:22.000
